Data curenta,Denumire Produs,Pret LEI,Site,Sursa,Chipset,Ventilatoare
18-10-21,  MSI GeForce RTX 3060 X 12GB GDRR6 192bit (RTX 3060 GAMING X 12G)  ,4234.0,leumart.ro,https://www.compari.ro/Jump.php?ProductAttributeId=828501240&ProductType=p&dat=DiCevsNQOISPKAsf1TU2HKOpaxVR0nfM%2BgRNHQYzV8ZYwsfPZGZ8XSu7xfJsMDPQHxE0VnEhereSYCRnhn93iSSHZihr%2BMsoCYS20JgCPHIcqyC4tHX6i1bSNsP3%2Fu4%2B2H3IwcuA4nzi1SD3%2F09GedAxXwWvPgF0uHEFipk6Zfx4kifTWuftuh%2B5L1vUDwRSk%2FRWnY17dfAgPZYjwhFKXptFBsq3z4e4VPBuEmKi2l9jw1eRFrF0uLHjtuTv%2B8%2BQ5msf9XvLDocBzgce4RzRsDcTH3Cpe5XllvFbl4Yo1IjUdd1f32b52TEFLqNyOipQsd0gISFof4ht7C%2BmBCCJENP%2B2jMjs0c9ms%2FZx6aXwj0pG9GQ6Zu%2FgKJf3uZLP4h03mSCNu9ahUOzNwKl8FebJhA9HZz2Lw9HTckL7rONSAnHeq3OoXPYzyn4yyarWGDw&pp=73781ece2947d79c8d97543f918ebfce&sc=4&ptp=2&ct=highlighted&cp=OfferOverlay&op=3&pt=product,RTX3060,2.0
18-10-21,  GIGABYTE GeForce RTX 3060 12GB OC GDDR6 192bit LHR (GV-N3060GAMING OC-12GD 2.0)  ,3799.0,vexio.ro,https://www.compari.ro/Jump.php?ProductAttributeId=841241208&ProductType=p&dat=JU50FXD97g%2F2elFVwXFaayWwBkT62PPSt%2FwayMKFcRsazlgYCgsEtOIOjv7tMf%2BO%2BYQt2u6YcBwnxGwTUxbiJOJm5hTufcP0AY9hnXA8Vremh%2BUukf6Hjb9YgyA3MpUZsRczsbT%2FHiq5Z%2F8gqCihINu3Uy2PYLx2Cz2EoG1GBLPefUiRE5Gvk%2F1BMzlxPF4qIl%2FIxHM4Bx351r9M%2FCbqSzT0zvWkqpAOJpN3O8bjusB7qSDBmZtIkW%2FvqFZPxeJmC%2BSpfY7ioo6l0jZmJIRC0tNr4DvkOZWCmx3qYrTAaWZADCBy3nI0dSaWS%2Bvv0tqaV%2FFHTOcy7jO2mukYH4dDefk87j3fR6BCvHu5wDy2mLLjLH8hzgEd13c8ScqtHpUILX%2Fwc6QaWhtDrqIYG12RaH2qRPD2kdCplD9QsOdA%2BAtSHa%2FFR%2Fz4B%2BaVUXMsaX2V&pp=407c067fe3a80b1ba3e119006875f9d4&sc=7&ptp=2&ct=highlighted&cp=OfferOverlay&op=1&pt=product,RTX3060,3.0
18-10-21,  GIGABYTE GeForce RTX 3060 TI EAGLE OC 8GB GDDR6 256bit LHR (GV-N306TEAGLE OC-8GD 2.0)  ,4249.0,cel.ro,https://www.compari.ro/Jump.php?ProductAttributeId=838644951&ProductType=p&dat=IBmSV6KwHf1ZbFX%2BKW0bwouY1ejLB7R%2FdeKP1o5mtsaBJ1PlAI26n6Ki8ib567OkHCrAI%2FqWDie982dyVytQ4Op715Z2lULIiKYWrHy2TxPqU2QXXa2Om4RyTTITVZlAR8IgYHlYxPMnrqx6Sii2Xby%2Bjmas9XUSFjTi7E9JgQlGd67fitRZ5swcw%2FSlXCAFojw%2BXaGSLtGVa4R09MZA3EHRNxUecBv0Qo%2BXU9SvCMM8L9TnKmAxbGZnZ8fW3wHoX808UK7nTvZUeL6RstPdCkerSAz55VI%2FQ%2B%2FC%2FWuEmM7mCwZqOkTJMM5wA3cvKVXHM5oJK05IMDbchuX1zUc6V%2Bi43ZsyVD1mAfrqQSIlxEbgZdXyysEG%2BRJDm95GKkff1D%2BoZiTQ37G1dwnU%2F77xjzZ8LmYAEOGstJD0y4DJkTtfM2XPCoyDZyKnODkHY2fC&pp=77f4947b6db42306178a8632b80d2400&sc=8&ptp=1&ct=normal&cp=OfferOverlay&op=4&pt=product,RTX3060Ti,2.0
18-10-21,  GIGABYTE GeForce RTX 3060 Ti 8GB GDDR6 256bit LHR (GV-N306TAORUS E-8GD 2.0)  ,4599.99,pcgarage.ro,https://www.compari.ro/Jump.php?ProductAttributeId=853940301&ProductType=p&dat=5vCuiA%2BTAJ4tQ6snNmg3DGoFB4%2F7%2F8i4Y%2BfyhsBHTQLvutto49gwYaL3%2F9ZWA7tdziZLWB%2F1nY4EgNCh17nGzHEo2Pf%2Fpdb%2BQZzQqsK3BOmA16C%2B8QDZHgYMEpz%2FV%2BbQchEciz%2FoLMYb6b7ZLRXsgXtPfQQ59UdJ7km84a3FNJLcryE5De7%2BBiNatQ3OoyxcPmv%2BvU5RiDIZ%2BQ5ecnIN4YGw9L2ted5V26qiBbGQqN5SVXr7YTPu77Eq7OdveWxhkrRk01wj01Xwg38aghUSGlNca4RkkjUHz5ATh%2Fc9BV8Pw4bItZddES2CRgsxAQt0CpWdIikYgTRcGo1QsvpP3sH8A30bFZZcFsHIzH2BXDO%2F1EygD%2BplQd2%2Br6OA9nQRvUveT5TDsh7wVgH%2FUueb43J9%2BqTtsUU6mSuSbX7l9ynngzVw5uwED616REjRwj0O&pp=6253dfc3d82d640120d435102105623f&sc=2&ptp=1&ct=normal&cp=OfferOverlay&op=1&pt=product,RTX3060Ti,3.0
18-10-21,  ZOTAC GeForce RTX 3060 Twin Edge OC 12GB GDDR6 (ZT-A30600H-10M)  ,3599.0,baset.ro,https://www.compari.ro/Jump.php?ProductAttributeId=859417887&ProductType=p&dat=k9mk3EahbcFspXPFiZN5LyAyiL00QCG9Evn4F%2Fh9urKyvtj68pUlrncTwA8VLyQbeF%2B1r0fG1lY%2BWQunpR2CyzNtQlxKbyLEA%2FyBORgsQ3K5pBxCVng4Iz%2FJcqVxY%2Fqx6f9QH7k9SXqub3e8n9q%2FJxRdmYFPTG%2FwU4N%2FEC6ZaE2%2FyDs6xrBvcWiRk5OmspGCj2NzbV0lHnZ0fqK83NBvmKYprx5Ja1RvNbPu8uL5WUul4LM8g%2BV5DTRpJZzm577d9L5ll8nWNUtfkGrk%2FpsWWZl12Ehl0hgKP9mnfBDjEThn4cLi4kGJ%2BnspKMfbSoo6BjBWf18DvyQAL8zqlxDLWOfwGC9bgFud2KYlikOcQkAlsC8eVrxdmJ3lHQqAkA0CWCOMQRFOP9HSdbWTRRTBxS%2BHWBhjtIcDxvNNVO4R092L3ozCB8P3OPTkrZAMln25&pp=a709cd48bb38d15502f0617388970114&sc=5&ptp=1&ct=normal&cp=OfferOverlay&op=4&pt=product,RTX3060,2.0
18-10-21,  KFA2 GeForce 1CLICK OC RTX 3060 12GB GDDR6 192bit (36NOL7MD1VOK)  ,3520.0,proline.ro,https://www.compari.ro/Jump.php?ProductAttributeId=870297039&ProductType=p&dat=ZXpcydFNR0H8XwL5kYFgQGpw0jmUY9Po0U3h3i83qujhxj7FlnYSY2ikFMF727IY2IdLHmiH%2BA6ZEwH8t1fB3Vc9vdiVt1LLZlaCmqeVtAkqSept2%2BZPUhxXD%2BcqNd9kmoENU2pIFOxKNAIw%2BDaVxacP2pStEEQatVaEXOl%2FS5b%2FCYWxR%2FXqMUPeTMgQfVAWjt1YcxueyNcudOsrgmQXRMS1jQKVoQ%2B4%2FlFP%2FrgzafgaS7ZEsZ4dyVgBhFNbIZxhYjprYBE7Xk8Z3KkyBR19EUlAx%2BpN3aNgtfV9gIS25lHyJYoemLszNKaNTDmwdJD5EBsYFfVmGY9tXochjZwV%2B4zNPWxN%2FP1LygbX9sTtC1rersz4XyM1gIYrTAr6K%2Bb91vJ8v8K1yzUkDYX0knVBZ8lTGVbh6e3OMU60vdT2AN4%2FEiWbLfDnRVBWTpbbYIdn&pp=d1a0375616994563ac79ba7bafda0170&sc=2&ptp=1&ct=normal&cp=OfferOverlay&op=1&pt=product,RTX3060,2.0
18-10-21,  MSI GeForce RTX 3070 Ti 8GB GDDR6 256bit (RTX 3070 VENTUS 3X 8G OC LHR)  ,5932.0,leumart.ro,https://www.compari.ro/Jump.php?ProductAttributeId=870968913&ProductType=p&dat=7fWIC3vwuK1%2BfjR2v%2BUpnZKb1tsk4YV2mgTIS854C4bqN6MPJD0c7jQg0MDsOA4u2jbgr7M2661tFFGK%2FOwLVgVAG3AiM73%2BrcaUlRDc0yXjnn1P7nzhkSrgAEWkRbEsZTlVos2HFP5QxMix9tUgs2u3fBRGQet%2BcnrztwXzD2qF8wH0SLGS1UMpHstI0A5dB9IsxKiqv%2BWEdyZKuvYoxJs8Ivd2EYFZQUxqbqgLapQrB38czNcBJgX9OmIDRsukltQ3wB2Evm9LzjLhx%2FYGLHJNr13zPDk4pjO6c75eK%2ByYlif9zzr%2F7fcTWv0hn4WRDPBdgIxB2QgDUlyCiAp9dEEIjIE230HLyH9%2F3b8G%2B6oc6X4bMfChAbR78Ir31YJLGn1RtnMe7RbJI4GWns8wSMNp0Tm%2FYN2qXai0swqsj1uhX4WXRkfDHs9oJu77s6Gj&pp=73dc100e98f861a9198f3ef40b6b73ae&sc=3&ptp=1&ct=normal&cp=OfferOverlay&op=1&pt=product,RTX3070Ti,3.0
18-10-21,  ASRock Radeon RX 6600 XT 8GB GDDR6 (RX6600XT CLD 8GO)  ,4299.0,cel.ro,https://www.compari.ro/Jump.php?ProductAttributeId=853748463&ProductType=p&dat=Ve6SleWiluctYAMgVlnRiOBTaSUhS2wsSyBkMKFRIgPLss3nESrMUBBJCv4LwD5MIYUlImSL5rbOSzxGjMQjebHlSXPSQFliwQVRxj62FxJ%2B8GAxFkDx4SqLwsn4NFGmFZzQCAFRaBnINd4v9oEJNVC8DICn2l5u5DbGcaZZEuTOv%2B%2FpyY99iE5xE%2FNG67hMMAhVBSVrHaHx0Lpd49QZJcCLXWf3S1fSBm5sDR9Awy2Lrb3DGTUvKk5Wuz%2BF2ngkbVuOHxom3HLv1IcJgPc%2Fv4f9Bfj5br3orZV6Z4EY7fiTSMSnkUBwg9huRpkTpL5XDyYOHfcBNOIwfzWV5RgN37z0GtOFe2q%2F4JLk5U2%2ForpEi%2Boz6mUWHM8n%2FyZWMx1l9FJzzNBsDwpv0Hg2aPxGtmfVU9%2BsttUmxmtJ2SMC05ibw%2BMsA93%2BhXLsw9kGl8UJ&pp=5f7303c428187e6128681e61f6c3c592&sc=3&ptp=1&ct=normal&cp=OfferOverlay&op=1&pt=product,RX6600XT,2.0
18-10-21,  GIGABYTE GeForce RTX 3090 GAMING OC 24GB GDDR6X (GV-N3090GAMING OC-24GD)  ,13499.0,flax.ro,https://www.compari.ro/Jump.php?ProductAttributeId=834373470&ProductType=p&dat=xSb515dVpoNz4pHMnOj4b2hyWuhLihdiYHSjI%2Fn5jixGlmwd%2BqrWj6fU5T0qe8ko8BcqhtilrUk3P9LtKLOQ0EUhftWWdWjmA8VEnNDRKjTFiq1zMZ7FUyah0lojRwJn0ZeBY1vWIXq8pOyOaz0BeIEco85E5TJELBAI3fMm2G%2FxHQ%2FqpoW4XYcOZu2REIJYhG%2FtJ4LG2OgLilUtnaQTH4kIVUlOEF63wJLu%2FcmNk5XlxzHffUbatdwcUWeirda0kEdlHSLnEW0hXxQUrEQv6yzkB4VvTcBqn9JSNpnbPMwuEl1D2M%2FwrfnPPecq4EOseirYiYjo%2BGXv0C%2BM1PVYM9FGrvVVzN%2FgL3WQJLbXrFIR1KetWG0gsQriqKuKUoH8abfZRlc6elpXlrTpZ0tzhxhzicbMO5MvUosZJA79DCg%2BzOZrDxYpM8M5aETdtu8o&pp=b1cfbda44d7bd93e92ecc2f1c654642b&sc=6&ptp=1&ct=normal&cp=OfferOverlay&op=4&pt=product,RTX3090,3.0
18-10-21,  GIGABYTE GeForce GTX 1650 D6 OC 4GB GDDR5 128bit (GV-N1656OC-4GD)  ,1799.99,itgalaxy.ro,https://www.compari.ro/Jump.php?ProductAttributeId=691372737&ProductType=p&dat=CDKgvZbhz88myismlYTIKn8tDzPj5iIITa%2Fqn8%2BF%2BdKrdUvGJxXgX%2B7%2FlC39gj3UaPlSApBAqO6dgYV6EpZE9Ux4%2FDYSzRGB7L6xPIU2MWucBLn4qbWq7BLwnPpET1fVpCDxLKZUTfM%2Fz7TpuQFsGfKoZDf80aBjpnoMJnRsESqc6WO2G5CJukByOgEw%2FjKxjsfM7%2F%2F0ZuegkiI4zySmpStt4JP7ebbPfhZBI2nvd88Cj9pdCywn70OcNr1RCpOqyDaIoO5piKxnc93KQY49CBEw%2Bs5xWLklR1QTKF8czEXw5Izwk%2B9gTouwGPAl0xpn67hM0RTQjO6XZ4jRiXk4v7wu3W5%2F5REm72L9MFIHdgdeIdNHlcw9HtgFaDJ%2F8756d1TupR2SCV39%2FaB3zIugyiitk4qTQhJIC%2B6pRlEKLm5j6DzIYh%2BvB%2FH6n0Ifb9TT&pp=39ec0b38eef0cded99b7f9c3d668ce07&sc=2&ptp=1&ct=normal&cp=OfferOverlay&op=1&pt=product,GTX1650,1.0
